ProbeSet_ID,Gene_Symbol,Gene_Description,NCBI_ID,FC,P.Value,adj.P.Val,mean_naive,mean_6d,
10590620,Ccr9,chemokine (C-C motif) receptor 9,12769,26.511,2.25680867723619e-12,8.39465460508662e-10,1028,39,
10472235,Dapl1,death associated protein-like 1,76747,25.663,4.23563109668546e-12,1.35333843835378e-09,2890,113,
10390763,Ccr7,chemokine (C-C motif) receptor 7,12775,18.769,1.18855479909202e-13,1.09708010011005e-10,2210,118,
10381096,Igfbp4,insulin-like growth factor binding protein 4,16010,18.241,3.76065489123403e-12,1.21718235323811e-09,1183,65,
10513729,Tnfsf8,tumor necrosis factor (ligand) superfamily member 8,21949,15.023,1.59225365079956e-12,6.72578737037741e-10,703,47,
10351197,Sell,selectin lymphocyte,20343,14.606,1.44625348092364e-13,1.24288031901996e-10,4901,336,
10472860,Rapgef4,Rap guanine nucleotide exchange factor (GEF) 4,56508,14.06,2.04711695008229e-12,8.02255069541491e-10,1125,80,
10434758,St6gal1,beta galactoside alpha 26 sialyltransferase 1,20440,13.989,2.26006557501257e-11,4.42918316476921e-09,630,45,
10359689,Atp1b1,ATPase Na+/K+ transporting beta 1 polypeptide,11931,13.346,6.89411895470174e-12,1.89735717073618e-09,738,55,
10577226,2610019F03Rik,RIKEN cDNA 2610019F03 gene,72148,13.309,1.05796220219309e-11,2.63665340030562e-09,540,41,
10360684,Ephx1,epoxide hydrolase 1 microsomal,13849,12.737,9.22563305607918e-12,2.37032192807841e-09,1071,84,
10445767,Treml2,triggering receptor expressed on myeloid cells-like 2,328833,11.913,4.16283240607471e-13,2.16004419590571e-10,867,73,
10436865,Ifngr2,interferon gamma receptor 2,15980,11.565,3.42817499181174e-12,1.1485790805367e-09,631,55,
10509122,Cnr2,cannabinoid receptor 2 (macrophage),12802,11.374,2.85901650717698e-12,1.00355506185725e-09,346,30,
10388488,Fam101b,family with sequence similarity 101 member B,76566,11.261,2.41077565602912e-12,8.71712006565431e-10,862,77,
10410530,Slc6a19,solute carrier family 6 (neurotransmitter transporter) member 19,74338,10.884,4.03157426527388e-11,6.57907119539699e-09,317,29,
10414953,Gm16591,,NA,10.439,3.45652158896768e-12,1.1485790805367e-09,171,16,
10606654,Xkrx,X Kell blood group precursor related X linked,331524,9.786,2.95706379487304e-11,5.14781365657081e-09,293,30,
10375019,Nsg2,neuron specific gene family member 2,18197,8.879,2.60148630867397e-10,3.01554612952431e-08,832,94,
10407173,Il6st,interleukin 6 signal transducer,16195,8.643,1.02145706600682e-11,2.57138919182039e-09,2548,295,
10475502,Gm14085,solute carrier family 28 (sodium-coupled nucleoside transporter) member 2,269346,8.641,1.51447377608364e-11,3.34015180951828e-09,952,110,
10485622,Qser1,glutamine and serine rich 1,99003,8.299,1.02472122588437e-10,1.373016257607e-08,120,14,
10444284,H2-Ob,histocompatibility 2 O region beta locus,15002,8.09,4.58811190428605e-10,4.88653525122295e-08,398,49,
10382104,Snord104,,NA,8.029,2.15810032992877e-11,4.33743358245845e-09,3246,404,
10589654,Als2cl,ALS2 C-terminal like,235633,7.851,1.56924017920438e-11,3.43057927597646e-09,564,72,
10439790,Trat1,T cell receptor associated transmembrane adaptor 1,77647,7.824,6.21568735768615e-10,6.34732584408864e-08,158,20,
10549162,St8sia1,ST8 alpha-N-acetyl-neuraminide alpha-28-sialyltransferase 1,20449,7.824,1.64977204718398e-11,3.57527121390602e-09,427,55,
10499655,Il6ra,interleukin 6 receptor alpha,16194,7.434,1.71831338613344e-10,2.13053762234913e-08,1376,185,
10495190,A930002I21Rik,RIKEN cDNA A930002I21 gene,109226,7.142,2.2080681917694e-10,2.59572997524891e-08,94,13,
10376885,Snord49b,small nucleolar RNA C/D box 49B,100217426,7.015,3.84487470372601e-08,1.92413589088875e-06,2041,291,
10503709,D130062J21Rik,RIKEN cDNA D130062J21 gene,100038651,6.746,1.06855497854433e-10,1.42409236231453e-08,382,57,
10508721,Snora44,small nucleolar RNA H/ACA box 44,100217418,6.73,3.21027734759649e-10,3.65326630396345e-08,458,68,
10607870,Tlr7,toll-like receptor 7,170743,6.569,3.91115230562642e-07,1.31291151811224e-05,106,16,
10573082,Inpp4b,inositol polyphosphate-4-phosphatase type II,234515,6.295,9.21226249097401e-11,1.27158761798646e-08,1394,221,
10563108,Snord35a,small nucleolar RNA C/D box 35A,27211,6.249,3.96708066320293e-09,2.90787012612775e-07,1491,239,
10406551,Ssbp2,single-stranded DNA binding protein 2,66970,6.243,3.79123873914345e-11,6.25730144747901e-09,786,126,
10568392,Rgs10,regulator of G-protein signalling 10,67865,6.122,2.92875266108019e-11,5.14016717038313e-09,996,163,
10378286,Itgae,integrin alpha E epithelial-associated,16407,6.016,3.2726012570331e-09,2.47866522720715e-07,295,49,
10506058,Inadl,InaD-like (Drosophila),12695,5.973,2.32415481574389e-11,4.42918316476921e-09,303,51,
10568553,Chst15,carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15,77590,5.75,1.05404035568263e-09,9.55228863429907e-08,286,50,
10385518,Tgtp1,T-cell specific GTPase,21822,5.748,1.27718387871739e-08,7.57856586318926e-07,2304,401,
10385533,Tgtp1,T-cell specific GTPase,21822,5.689,3.05546196281874e-09,2.34302224730365e-07,2317,407,
10485607,Qser1,glutamine and serine rich 1,99003,5.611,2.95620106084399e-10,3.41085383510897e-08,101,18,
10427628,Il7r,interleukin 7 receptor,16197,5.554,3.61839954559876e-10,4.00790015446277e-08,2524,454,
10571984,Ddx60,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60,234311,5.542,1.7999667387845e-08,1.029297578179e-06,453,82,
10438702,St6gal1,beta galactoside alpha 26 sialyltransferase 1,20440,5.507,3.48818115831869e-08,1.78140268089382e-06,177,32,
10385776,Tcf7,transcription factor 7 T-cell specific,21414,5.337,1.19603087774867e-09,1.06836851380833e-07,3074,576,
10590365,Vipr1,vasoactive intestinal peptide receptor 1,22354,5.305,6.92404547676502e-10,6.90244245487751e-08,354,67,
10357488,Cd55,CD55 antigen,13136,5.282,1.47399727670925e-09,1.24248890723734e-07,412,78,
10472846,Pdk1,pyruvate dehydrogenase kinase isoenzyme 1,228026,5.266,1.61487403385683e-10,2.02301112097411e-08,622,118,
10604076,Snora69,small nucleolar RNA H/ACA box 69,104369,5.251,3.26386644935819e-08,1.67715628146196e-06,370,70,
10512470,Cd72,CD72 antigen,12517,5.219,1.38631118830868e-10,1.79013717279943e-08,629,121,
10435769,Zbtb20,zinc finger and BTB domain containing 20,56490,5.209,1.01246602843138e-10,1.36392856003065e-08,253,49,
10422321,Dzip1,DAZ interacting protein 1,66573,5.112,1.36903801217164e-09,1.17247990856844e-07,534,105,
10382532,Slc16a5,solute carrier family 16 (monocarboxylic acid transporters) member 5,217316,5,1.61494172576146e-09,1.33830687650853e-07,187,37,
10431935,Amigo2,adhesion molecule with Ig like domain 2,105827,4.984,6.69225875089981e-10,6.72518034636794e-08,255,51,
