Gene name,UCSC ID,G2 mRNA RPKM,M mRNA RPKM,G1 mRNA RPKM,G2 mRNA Read Count,M mRNA Read Count,G1 mRNA Read Count
SERPINB2,uc002ljo.2,3.6,5,651.6,97,214,23231
TNFAIP3,uc003qhr.2,2.8,1,80.6,144,87,5518
RRAD,uc002eqo.2,5.9,2.8,134.2,122,87,3534
XIRP1,uc003cjk.1,0,0.1,3.1,5,13,491
IL1B,uc002tii.1,2.6,1.6,70.1,49,44,1609
IL6,uc003svj.3,2.3,1.1,27.5,31,27,496
LIF,uc003agz.2,21.4,9.1,174.2,282,206,2986
JUN,uc001cze.2,99.2,30.8,491.4,2078,1077,13954
BTG2,uc001gzq.2,11.1,2.7,39.8,112,48,529
SSTR1,uc001wul.1,1.4,0.5,7.3,33,22,244
THBD,uc002wss.2,12,4.5,63.3,421,279,3147
BHLHE40,uc003bqf.2,16.8,10.3,134.6,474,464,4783
ATF3,uc001hjf.2,7.9,7.1,91.6,89,148,1403
ADAMTS1,uc002ymf.2,41.4,24.5,269.2,2495,2633,22593
CDKN1A,uc003omm.3,331.9,74.7,819.8,3344,1351,11312
SPRY4,uc003lml.2,6.2,3.7,37.6,117,118,963
LOC400027,uc001roq.2,4.9,2.1,20.9,38,28,208
STC1,uc003xdw.1,21.6,17.7,168.6,350,467,3549
SHC4,uc001zxb.1,1.2,0.4,4.1,53,29,221
JUNB,uc002mvc.2,58.7,30.9,276.2,1337,1225,8225
SPRY2,uc001vlj.2,43.9,45.1,385.1,906,1589,10401
IL11,uc002qks.1,41.1,42,342.9,494,910,5788
DUSP1,uc003mbv.1,105.3,37.4,298.3,2347,1564,9211
MKRN3,uc001ywh.3,3.4,0.8,6.6,110,46,287
CREB5,uc003szq.2,0.5,0.6,5,16,39,220
DUSP5,uc001kzd.2,106.5,42.4,316.5,2320,1791,9935
DUSP10,uc001hmy.1,2.1,1.8,12.8,67,91,533
SGK223,uc003wsh.3,1,0.5,3.7,96,79,453
AKAP12,uc011eep.1,37.8,34.6,246.8,4490,6799,38286
INHBA,uc003thr.2,43.9,34.7,245.3,1242,1574,8991
RELB,uc002paj.1,9.1,3.3,22.8,340,202,1133
NUAK2,uc001hce.2,4.3,2.7,18.5,175,185,1004
CSRNP1,uc003cjg.2,17.4,13,86.6,666,867,4413
PMEPA1,uc002xyq.2,8.2,4.3,28.2,160,130,692
TRIB1,uc003yrx.2,13.5,5.1,33.3,332,215,1067
none,uc001kec.1,9.3,4.3,27.9,79,59,309
ISG20,uc002bmv.1,4.5,2.5,16.2,51,50,248
NAB2,uc001smz.2,30.4,27.6,174.6,1041,1607,7925
